# tab_3_2 — Sample-Designs und Reproduktionsanker
# Szenario alle · Lauf-Hash f0129516a99f9c4a · Quelle backtest.sample + hashes
# Kurszeilen und Renditetage unterscheiden sich um eins — die erste Kurszeile erzeugt keine Rendite. S4_2018 teilt die Datenbasis mit S1 (gleicher Datensatz-Hash), unterscheidet sich aber in der Konfiguration (anderer Lauf-Hash).
Record;Beginn;Ende;Kurszeilen;Renditetage;Assets;Korb;Datensatz-Hash;Lauf-Hash
S1;2018-01-02;2025-12-31;2.011;2.010;7;fester Korb;715caf81d0dd19d5;f0129516a99f9c4a
S2;2015-01-02;2025-12-31;2.766;2.765;8;Point-in-Time;ebf5ba110371d633;f3e55eb08c91c93b
S3;2021-01-04;2025-12-31;1.255;1.254;8;fester Korb;f10f75b3cc68093b;6cb43825ee6860a3
S4_2018;2018-01-02;2025-12-31;2.011;2.010;7;fester Korb;715caf81d0dd19d5;eade5ce249da9ebb
S4_2019;2019-01-02;2025-12-31;1.760;1.759;7;fester Korb;393b9fff8c45e318;4b3c9e6e5d94c226
S4_2020;2020-01-02;2025-12-31;1.508;1.507;7;fester Korb;4aaa25e937fa7322;9ee0b737af2a6365
S4_2021;2021-01-04;2025-12-31;1.255;1.254;7;fester Korb;43c7318e1fb4c7a6;92be61991a3fa7c1
S4_2022;2022-01-03;2025-12-31;1.003;1.002;7;fester Korb;282cd7a47293c575;a3838800c6c7407e
S1_rf3;2018-01-02;2025-12-31;2.011;2.010;7;fester Korb;715caf81d0dd19d5;eca6dde9182002a5
