date,MSCI_World,Global_Bonds,Gold,Bitcoin,Ethereum,XRP,BNB,Solana
2019-02-02,,,,3075.294547590656,96.4497904793596,0.27155055685627105,6.019206535907018,
2019-02-03,,,,3025.469379646694,93.88409797321955,0.26407425111220806,5.8851133260583035,
2019-02-04,65.69564916960339,37.753436016294074,108.21212265010952,3019.7031734812554,94.1239471749698,0.26206084073651337,6.198452679172775,
2019-02-05,66.16675168995512,37.86451797841235,108.671665771959,3031.0173712272435,93.94968108448994,0.2616575632332477,6.837719485690758,
2019-02-06,66.14204846364757,37.95198978951639,108.18651308871203,2991.9283042842803,91.95440512555244,0.2548018359813606,7.086964948164515,
2019-02-07,65.71592158506319,38.13357842327498,108.8689285883971,2990.923273989641,91.97225180788968,0.25657134820129807,6.801294965975521,
2019-02-08,65.81137064786249,38.266849235800144,109.54452814065449,3233.843634247188,105.1858067077335,0.2748825965805295,7.563050272676197,
2019-02-09,,,,3237.7447104855014,105.32968419352777,0.27453071223829983,7.823916107913161,
2019-02-10,,,,3254.487816201777,110.07058966017246,0.2733180412058983,8.12393393868234,
2019-02-11,65.88792204033969,38.287948694438654,109.14621257570285,3221.78312090234,107.11375710473324,0.26733845452754923,8.43482056959557,
2019-02-12,66.99546110165706,38.42744109393527,109.81428216759902,3239.2185912092386,108.67259656375433,0.27058146516632003,8.282423159764466,
2019-02-13,66.8221675652947,38.25283066255036,108.843189003847,3204.394368733171,108.12292129381403,0.2684545746733503,7.888262318475068,
2019-02-14,67.1418777938006,38.545709675750075,110.12929678211528,3210.7412012444393,107.759295648748,0.26800762922318205,7.795911771749355,
2019-02-15,67.79551096770558,38.42092732976213,110.4879391280019,3205.576221867824,108.09791554334265,0.2671532829767561,8.210309262247755,
2019-02-16,,,,3213.52356835356,109.12473463696438,0.26710370632809116,8.082308107235848,
2019-02-17,,,,3252.5206608770427,118.2777582004104,0.268579528490452,8.159150171283496,
2019-02-18,,,,3465.837975621144,129.31313287558132,0.28462306679785493,8.527535445886167,
2019-02-19,67.85946028315885,38.39945301802762,112.0053298705755,3489.310419751546,128.48893848465633,0.2862173747499911,9.33797202935012,
2019-02-20,67.8678292686823,38.30828122727323,111.5047792964694,3526.242066384676,131.84711295853964,0.29346702142507025,9.667675577874913,
2019-02-21,67.64599047175278,38.29003085202114,110.21157835956342,3484.9227768605115,128.79096828487872,0.28316663190801866,9.247806396606855,
2019-02-22,68.04643345684089,38.35008714470561,110.6408082723993,3531.2725245732936,131.4399163948912,0.28379059080999597,9.554001552041742,
2019-02-23,,,,3652.051948838113,139.99405751298343,0.2932378094099467,9.505236669550472,
2019-02-24,,,,3359.2731265569814,119.76771500948797,0.2657521779870708,8.915703787032296,
2019-02-25,68.19860716642629,38.33178220203749,110.53371858144585,3423.218070912573,123.27622556626628,0.2896341197455143,8.677308811200012,
2019-02-26,68.1244595082091,38.25352315913991,110.4727266625838,3390.6786244620253,121.47748684950125,0.28104390735505086,8.376147050680805,
2019-02-27,67.80107836222285,38.09110445858446,109.44291021987344,3380.1413311394017,119.48048014961593,0.2748194018983034,8.688666042848425,
2019-02-28,67.71577501245234,38.09977357945067,108.95248813819248,3387.2769404576284,120.1616585108829,0.27686532455445223,9.10808907446214,
2019-03-01,68.20502667033794,38.09171460228123,107.16176685918475,3393.500346775709,119.96668521517546,0.2789933997844404,10.017372011358857,
2019-03-02,,,,3397.748217881007,118.00012095486423,0.27707138087376576,10.436353791510498,
2019-03-03,,,,3382.590773114354,116.27897809700265,0.2748099756109295,10.144585503716742,
2019-03-04,67.89606961722285,38.132183902625755,106.85731573223026,3306.5967904006484,112.31984370223826,0.268227150260023,10.149463087972716,
2019-03-05,68.12701212622478,38.31770107487943,107.36191112482233,3436.7586449533155,121.56486025600019,0.2791718478029774,12.182707422625736,
2019-03-06,67.95094782502717,38.518178647653514,107.55188082678023,3452.646740081585,122.74529904005067,0.2803822032572405,12.839671214298155,
2019-03-07,67.23993425687968,38.61353115975875,107.39782648161462,3457.2044507152605,122.00316872652154,0.27820905734863965,13.386842672844107,
2019-03-08,67.8322701369397,39.047720938065495,109.69489015305025,3483.67155806202,120.66712888431285,0.2769045905919441,12.829530150759386,
2019-03-09,,,,3539.1995782769627,123.20166389836406,0.28024347969196417,13.007184386624303,
2019-03-10,,,,3528.7392118433318,122.12413769316775,0.27960143681345323,12.943389409424876,
2019-03-11,68.51251024416398,38.88695813121827,108.8278239665785,3476.7457135828326,119.14975890528545,0.2769349344617603,12.92189218968594,
2019-03-12,68.48234433525123,38.81543122240517,109.22591795025669,3471.956156790591,119.40679194094524,0.27550810598999737,13.683108893671937,
2019-03-13,68.85742131145948,38.72543384467983,109.7148071371933,3461.1171362681434,118.06309108552102,0.2782719845687787,13.391092829390967,
2019-03-14,68.46800324286268,38.58336642054829,108.03049704887292,3463.373386011967,118.0044889198334,0.2761921602342806,13.283050024712836,
2019-03-15,69.12720220919833,38.68872322993634,108.74237530987261,3502.633818798679,121.76085149769833,0.2786004942360214,13.332681435978914,
2019-03-16,,,,3580.288357897551,125.92271263512849,0.28338986835131114,14.25404178468075,
2019-03-17,,,,3559.5101138965033,123.80248943829302,0.2808642931868293,13.937581460815109,
2019-03-18,69.3299605832653,38.67076269048991,108.69476952388936,3562.3573711631766,123.12492089851494,0.2804296791615332,13.85364616643321,
2019-03-19,69.25280971896291,38.63565708872777,108.83719466823254,3591.3189221884827,123.95619534671253,0.2816473529816314,13.843790604166868,
2019-03-20,68.99934699177378,38.600014194005176,109.36285126488323,3599.7589270003996,123.89966938046527,0.28147415662202835,13.456811379728693,
2019-03-21,69.04381473275826,38.464021810823695,108.22618172995107,3525.8624249499267,119.56338379457719,0.27364388297503356,12.703444545014815,
2019-03-22,68.00988508655006,38.74725884403678,108.98450909558123,3537.5510309052006,120.5989513156029,0.273881920144841,13.421019024107082,
2019-03-23,,,,3547.975771665861,121.52943470958184,0.27460105275060886,13.394268381084947,
2019-03-24,,,,3535.9685719558615,120.42794573200248,0.271641049707238,15.195902851493877,
2019-03-25,68.49421849993483,39.08181460806667,110.58917784575314,3508.4271616051874,119.54026439333218,0.2691738196462408,14.909007134599138,
2019-03-26,68.83277643061562,38.950004329787824,109.84640104032897,3521.695689027264,119.7090298304472,0.2695876282686474,14.436153960091366,
2019-03-27,68.84062733168345,39.161659403171505,109.66889732922098,3624.941639942453,125.04662970405984,0.2771345968879133,14.883877155351746,
2019-03-28,69.1306000142605,39.27014462541766,108.33862395071164,3616.4189239170523,123.90638797312202,0.2748423796219357,14.93573695161569,
2019-03-29,69.64089589569559,39.28978251198168,108.64625138542021,3649.4797121192064,126.88968429987302,0.27420155689333403,14.701786235379776,
2019-03-30,,,,3656.857830329772,126.52927600840174,0.27660848069838023,15.077628222160206,
2019-03-31,,,,3655.739525182882,126.0140653921526,0.2753591477329,15.495666173093852,
